classe;capacité;description
Relationnelle;Extraversion;Sociable mais raisonné car pas spontané
Relationnelle;Extraversion;Approche des situations très global pour les extravertis
Relationnelle;Détente;Relationnel facile et mimetysme positif, agréable
Relationnelle;Affirmation;A besoin de l'avis des autres mais sais être affirmatif
Relationnelle;Réceptivité;Très à  l'écoute. L'écart entre affirmation et réceptivité montre ma capacité
Relationnelle;Réceptivité;A être affluencé ou adaptable aux autres
Relationnelle;Réceptivité;Réceptivité extraversion, risque de laisser plus de place aux autres
Action;Dynamisme intellectuel;Très développé, permet une créativité qui se marie avec Pouvoir
Action;Dynamisme intellectuel;Talent d'ouverture d'esprit
Action;Dynamisme intellectuel;Risque de devoir renoncer pour obtenir un résultat
Action;Dynamisme intellectuel;Car trop d'idées difficiles à  réaliser
Action;Dynamisme intellectuel;Associer à  Improvisation peut mener à  la dispertion
Action;Dynamisme intellectuel;L'écart entre les 2 manifeste le jeu
Action;Conciliation;Recherche le concensus plutôt que d'imposer ces idées en force
Motivation;Facilitation;Plaisir de la simplification plutôt que de l'effort
Motivation;Facilitation;La combinaison de Dynamisme intellectuel + Improvisation + Facilitation
Motivation;Facilitation;donne de bons résultats
Motivation;Facilitation;Pouvoir étant très fort, risque de ne pas obtenir de résultats
Motivation;Facilitation;avec érosion de la motivation
Motivation;Appartenance;Besoin de travailler avec les autres
Motivation;Pouvoir;Avoir des responsabilités, entreprendre, initier
