Utilisation;Famille;Compétence;Entreprise;Mission;Processus
1;Décider;Choisir;Cofely;2008 à  2011;Choisir une plateforme de calcul adaptée
1;Décider;Fixer;Cofely;2002 à  2011;Borner les usages énergétiques
1;Décider;Déterminer;Cofely;2010 à  aujourd'hui;Selectionner l'éditeur
0;Décider;Règler;;;
0;Décider;Résoudre;;;
0;Gérer;Acquérir;;;
0;Gérer;Budgéter;;;
0;Gérer;Economiser;;;
0;Gérer;Exploiter;;;
3;Gérer;Optimiser;Axima;Secondaires;Ajuster les contrats d'achat d'énergie
3;Diriger;Animer;Cofely;2010 à  aujourd'hui;Animer de nombreux ateliers avec les équipes
3;Diriger;Conduire;Cofely;2011 à  2012;Accompagner 2 stagiaires
1;Diriger;Définir;;;
3;Diriger;Déléguer;Cofely;Actuelles;Déléguer à  la tribu de data scientists ENGIE
1;Diriger;Déléguer;Cofely;2008 à  2011;Déleguer les prestations d'audits énergétiques
3;Diriger;Piloter;Cofely;2011 à  2012;Encader deux stagiaires
0;Administrer;Classer;;;
0;Administrer;Compter;;;
0;Administrer;Enregistrer;;;
3;Administrer;Administrer;Cofely;2010 à  aujourd'hui;Administrer l'application
3;Produire;Réaliser;Axima;Principale;Réaliser les cahiers de réserves techniques
1;Produire;Collecter;Cofely;Actuelles;Collecter les données brutes à  analyser
3;Organiser;Anticiper;Cofely;2010 à  aujourd'hui;Anticiper et généraliser le besoin
1;Organiser;Structurer;Cofely;2002 à  2011;Packager les mallettes de mesure
0;Organiser;Programmer;;;
0;Communiquer;Ecouter;;;
3;Communiquer;Exprimer;Cofely;2011 à  2012;Exprimer le cadre, le processus et le livrable
1;Communiquer;Partager;Cofely;2011 à  2012;Valoriser l'interface produite
0;Communiquer;Rédiger;;;
3;Communiquer;Transmettre;Cofely;Actuelles;Transmettre aux mandataires la solution
0;Développer;Améliorer;;;
3;Développer;Promouvoir;Cofely;Actuelles;Promouvoir ces solutions
3;Développer;Promouvoir;Cofely;2011 à  2012;Promouvoir l'interface logicielle
0;Chercher;Analyser;;;
0;Chercher;Calculer;;;
1;Chercher;Rechercher;Cofely;Actuelles;Bibliographier les méthodes disponibles
1;Chercher;Identifier;Cofely;Actuelles;Identifier et borner le besoin
3;Former;Animer;ENI Metz;Unique;Enseigner la thermodynamique appliquée
3;Former;Apprendre;Cofely;Actuelles;Se former et prendre en main
3;Former;Transformer;Cofely;2010 à  aujourd'hui;Accompagner le changement dans les partiques
3;Former;Comprendre;Cofely;2008 à  2011;Modéliser les systèmes
1;Contrôler;Evaluer;Cofely;2011 à  2012;Benchmarker les méthodes du marché
0;Contrôler;Expérimenter;;;
0;Contrôler;Mesurer;;;
1;Contrôler;Valider;Cofely;2011 à  2012;Contrôler les résultats obtenus
3;Créer;Concevoir;Cofely;Actuelles;Etayer un process sur ces données
3;Créer;Elaborer;Cofely;Actuelles;Elaborer une solution de traitement
0;Créer;Innover;;;
0;Créer;Transformer;;;
0;Négocier;Convaincre;;;
0;Négocier;Influencer;;;
1;Négocier;Sélectionner;Cofely;2011 à  2012;Recruter deux stagiaires
0;Conseiller;Comprendre;;;
3;Conseiller;Proposer;Cofely;2002 à  2011;Proposer aux équipes un processus technique
