classe_de_valeur;valeur;evaluation;description
Ouverture vers l'extérieure;Universalisme ;9;Compréhension, estime, tolèrance et protection du bien-être de tous et de la nature (large d'esprit, justice sociale, égalité, un monde en paix, un monde de beauté, unité avec la nature, sagesse, protection de l'environnement, harmonie intérieure, une vie spirituelle).
Ouverture vers l'extérieure;Bienveillance ;9;Préservation et amélioration du bien-être des personnes de son groupe d'appartenance, souci du bien-être des autres (secourable, honnête, indulgent, responsable, loyal, amitié vraie, sentiment d'appartenance, coopération, solidarité, harmonie,  affiliation, vie spirituelle)
Continuité;Tradition ;7;Respect, engagement et acceptation des coutumes et des idées de la culture à  laquelle on se rattache  (solidarité du groupe, respect des normes de comportements, humble,  vie spirituelle)
Continuité;Conformité ;6;Modération des actions, des préférences, pour ne pas déstabiliser ou blesser les autres ni transgresser les attentes sociales, ne pas contrarier ou entraver le bon fonctionnement du groupe  (obéissant, auto-discipliné, politesse, loyal, responsable, coopération)
Continuité;Sécurité ;5;Sûreté, harmonie, stabilité  (ordre social, sécurité, réciprocité des services rendus, sentiment d'appartenance)
Affirmation de soi;Pouvoir ;5;Statut social prestigieux, contrôle des ressources et ascendance sur les autres (autorité, reconnaissance sociale, avoir une position).
Affirmation de soi;Réussite ;8;Succés personnel obtenu grà¢ce à  la manifestation de compétences socialement reconnues (être performant, compétent, avoir des succès, de l'ambition, de l'influence, reconnaissance sociale)
Affirmation de soi;Hédonisme ;8;Plaisir ou gratification personnelle (activité procurant des satisfactions, s'amuser, agir pour le plaisir)
Ouverture au changement;Stimulation ;9;Enthousiasme, nouveauté et défis à  relever (variété, niveau d'activité optimal et positif, activité passionnante, intrépide)
Ouverture au changement;Autonomie ;9;Indépendance de la pensée et de l'action (choisir, créer, explorer, créativité, liberté, choix de  ses propres buts, curieux, indépendant, droit à  une vie privée)
